title,author,journal,number,year,reviewed,display,citation-number
Reproducible summary tables with the gtsummary package,"DD Sjoberg, K Whiting, M Curry, JA Lavery, J Larmarange",R Journal,13 (1),2021,No,Yes,
Gtsummary: Presentation-ready data summary and analytic result tables. R package version 1.3. 5,"DD Sjoberg, M Curry, M Hannum, K Whiting, EC Zabor",gtsummary: Presentation-Ready Data Summary and Analytic Result Tables (R …,,2021,No,No,
"Neoadjuvant atezolizumab with gemcitabine and cisplatin in patients with muscle-invasive bladder cancer: a multicenter, single-arm, phase II trial","SA Funt, M Lattanzi, K Whiting, H Al-Ahmadie, C Quinlan, MY Teo, and others",Journal of Clinical Oncology,"40 (12), 1312-1322",2022,No,Yes,
CT-based radiogenomic analysis of clinical stage I lung adenocarcinoma with histopathologic features and oncologic outcomes,"R Perez-Johnston, JA Araujo-Filho, JG Connolly, R Caso, K Whiting, and others",Radiology,"303 (3), 664-672",2022,No,No,
A phase II study of epacadostat and pembrolizumab in patients with advanced sarcoma,"CM Kelly, LX Qin, K Whiting, AL Richards, V Avutu, JE Chan, P Chi, and others",Clinical Cancer Research,"29 (11), 2043-2051",2023,No,Yes,
clinfun: Clinical trial design and data analysis functions,"VE Seshan, K Whiting",R package version,1 (9),2018,No,No,
Reproducible Summary Tables with the gtsummary Package. R J. 2021; 13: 570–580. doi: 10.32614,"DD Sjoberg, K Whiting, M Curry, JA Lavery, J Larmarange",RJ-,-2074,2017,No,No,
Fibroblast growth factor receptor 3 alteration status is associated with differential sensitivity to platinum-based chemotherapy in locally advanced and metastatic urothelial …,"MY Teo, JM Mota, K Whiting, HA Li, SA Funt, CH Lee, DB Solit, and others",European urology,"78 (6), 907-915",2020,No,No,
Percutaneous cryoablation provides disease control for extra-abdominal desmoid-type fibromatosis comparable with surgical resection,"JE Mandel, DH Kim, H Yarmohammadi, E Ziv, ML Keohan, SP D’Angelo, K Whiting, and others",Annals of surgical oncology,"29 (1), 640-648",2022,No,No,
"Clinical outcomes, genomic heterogeneity, and therapeutic considerations across histologic subtypes of urothelial carcinoma","CE Chu, Z Chen, K Whiting, I Ostrovnaya, AT Lenis, TN Clinton, and others",European urology,,2025,No,Yes,
"The GENIE BPC NSCLC cohort: a real-world repository integrating standardized clinical and genomic data for 1,846 patients with non–small cell lung cancer","NJ Choudhury, JA Lavery, S Brown, I de Bruijn, J Jee, TN Tran, H Rizvi, K Whiting, and others",Clinical Cancer Research,"29 (17), 3418-3428",2023,No,Yes,
Intensity‐modulated radiation therapy and doxorubicin in thyroid cancer: A prospective phase 2 trial,"PB Romesser, EJ Sherman, K Whiting, ML Ho, AR Shaha, MM Sabra, and others",Cancer,"127 (22), 4161-4170",2021,No,No,
Clinical and genomic characterization of bladder carcinomas with glandular phenotype,"K Whiting, N Almassi, A Toubaji, AT Lenis, EJ Jordan, H Won, and others",JCO Precision Oncology,"6, e2100392",2022,No,Yes,
clinfun: clinical trial design and data analysis functions. R package version 1.0. 15,"VE Seshan, K Whiting",,,2018,No,No,
"Phase I/Ib study of the efficacy and safety of buparlisib and ibrutinib therapy in MCL, FL, and DLBCL with serial cell-free DNA monitoring","CM Stewart, L Michaud, K Whiting, R Nakajima, C Nichols, S De Frank, and others",Clinical Cancer Research,"28 (1), 45-56",2022,No,No,
Reproducible summary tables with the gtsummary package. R J. 13: 570. doi: 10.32614,"DD Sjoberg, K Whiting, M Curry, JA Lavery, J Larmarange",RJ-,-2074,2021,No,No,
"A phase II trial of durvalumab and tremelimumab in metastatic, non‐urothelial carcinoma of the urinary tract","M Sarfaty, K Whiting, MY Teo, CH Lee, V Peters, J Durocher, AM Regazzi, and others",Cancer Medicine,"10 (3), 1074-1083",2021,No,No,
"Reproducible summary tables with the gtsummary package. The R Journal, 13 (1), 570–580","DD Sjoberg, K Whiting, M Curry, JA Lavery, J Larmarange",,,2021,No,No,
Extreme body mass index and survival in newly diagnosed multiple myeloma patients,"UA Shah, K Whiting, S Devlin, R Ershler, B Kanapuru, DJ Lee, S Tahri, and others",Blood Cancer Journal,"13 (1), 13",2023,No,Yes,
Pretreatment eosinophil counts in patients with advanced or metastatic urothelial carcinoma treated with anti–PD-1/PD-L1 checkpoint inhibitors,"JM Mota, MY Teo, K Whiting, HA Li, AM Regazzi, CH Lee, SA Funt, and others","Journal of immunotherapy (Hagerstown, Md.:","1997) 44 (7), 248",2021,No,No,
Reproducible summary tables with the gtsummary package. RJ 13: 570–580,"DD Sjoberg, K Whiting, M Curry, JA Lavery, J Larmarange",,,2021,No,No,
"Differential NEUROD1, ASCL1, and POU2F3 expression defines molecular subsets of bladder small cell/neuroendocrine carcinoma with prognostic implications","D Akbulut, K Whiting, MY Teo, JE Tallman, GG Ozcan, M Basar, L Jia, and others",Modern Pathology,"37 (10), 100557",2024,No,Yes,
Reproducible summary tables with the gtsummary package. The R Journal 2021; 13: 570–80,"DD Sjoberg, K Whiting, M Curry, JA Lavery, J Larmarange",,,2021,No,No,
Inherited germline cancer susceptibility gene variants in individuals with non–muscle-invasive bladder cancer,"EJ Pietzak, K Whiting, P Srinivasan, C Bandlamudi, A Khurram, V Joseph, and others",Clinical Cancer Research,"28 (19), 4267-4277",2022,No,Yes,1
Reproducible summary tables with the gtsummary package. R J.(2021) 13: 570–80. doi: 10.32614,"DD Sjoberg, K Whiting, M Curry, JA Lavery, J Larmarange",RJ-,-2074,2023,No,No,
FLIRT-ing with Zika: a web application to predict the movement of infected travelers validated against the current Zika virus epidemic,"A Huff, T Allen, K Whiting, N Breit, B Arnold",PLoS currents,"8, ecurrents. outbreaks. 711379ace737b7c04c89765342a9a8c9",2016,No,No,
"Effectiveness of MRNA booster vaccine among healthcare workers in New York City during the Omicron surge, December 2021 to January 2022","K Whiting, EV Robilotti, A Lucca, C Poon, K Jani, T McMillen, S Freeswick, and others",Clinical Microbiology and Infection,"28 (12), 1624-1628",2022,No,No,
